long,lat,group,id
179.4515686,51.37260818,Alaska.1,Alaska
179.2781219,51.37221527,Alaska.1,Alaska
178.9258728,51.53505707,Alaska.1,Alaska
178.7470703,51.58671951,Alaska.1,Alaska
178.6479492,51.64389801,Alaska.1,Alaska
178.6921844,51.65595627,Alaska.1,Alaska
178.9080048,51.61557388,Alaska.1,Alaska
179.0842743,51.52768326,Alaska.1,Alaska
179.1817322,51.46992111,Alaska.1,Alaska
179.294342,51.42084885,Alaska.1,Alaska
179.4155273,51.40087891,Alaska.1,Alaska
179.4515686,51.37260818,Alaska.1,Alaska
-176.2867126,51.79199219,Alaska.2,Alaska
-176.3496552,51.73329926,Alaska.2,Alaska
-176.3961029,51.75986481,Alaska.2,Alaska
-176.4137115,51.84057617,Alaska.2,Alaska
-176.3785706,51.86112976,Alaska.2,Alaska
-176.2802277,51.80283356,Alaska.2,Alaska
-176.2867126,51.79199219,Alaska.2,Alaska
-176.0089874,51.81235504,Alaska.3,Alaska
-176.0933533,51.79048157,Alaska.3,Alaska
-176.2044373,51.83481598,Alaska.3,Alaska
-176.1936493,51.88628006,Alaska.3,Alaska
-176.07164,51.84331131,Alaska.3,Alaska
-176.0089874,51.81235504,Alaska.3,Alaska
-177.8790588,51.64970779,Alaska.4,Alaska
-177.9012604,51.61640549,Alaska.4,Alaska
-177.925354,51.61738205,Alaska.4,Alaska
-178.0588989,51.67260742,Alaska.4,Alaska
-178.0784607,51.69126129,Alaska.4,Alaska
-178.0000458,51.71748352,Alaska.4,Alaska
-177.9772491,51.73779297,Alaska.4,Alaska
-177.9863892,51.76425934,Alaska.4,Alaska
-178.0451202,51.80107498,Alaska.4,Alaska
-178.1534576,51.84824371,Alaska.4,Alaska
-178.194519,51.88222504,Alaska.4,Alaska
-178.1682587,51.90302658,Alaska.4,Alaska
-178.1166077,51.91586685,Alaska.4,Alaska
-177.9537964,51.91845703,Alaska.4,Alaska
-177.8658752,51.86040115,Alaska.4,Alaska
-177.7996063,51.8400383,Alaska.4,Alaska
-177.6444702,51.82627106,Alaska.4,Alaska
-177.7249451,51.80166245,Alaska.4,Alaska
-177.7706604,51.77788162,Alaska.4,Alaska
-177.8269501,51.6858902,Alaska.4,Alaska
-177.8790588,51.64970779,Alaska.4,Alaska
-177.1481934,51.71674728,Alaska.5,Alaska
-177.177002,51.70371246,Alaska.5,Alaska
-177.2298889,51.69355774,Alaska.5,Alaska
-177.38237,51.70483398,Alaska.5,Alaska
-177.4746552,51.70127106,Alaska.5,Alaska
-177.5775757,51.69419098,Alaska.5,Alaska
-177.654892,51.67656326,Alaska.5,Alaska
-177.6702118,51.70107269,Alaska.5,Alaska
-177.6676331,51.72119141,Alaska.5,Alaska
-177.3347168,51.77622223,Alaska.5,Alaska
-177.2572784,51.80493164,Alaska.5,Alaska
-177.2097626,51.841259,Alaska.5,Alaska
-177.1664124,51.90942383,Alaska.5,Alaska
-177.131485,51.92978668,Alaska.5,Alaska
-177.1100616,51.92876053,Alaska.5,Alaska
-177.0630341,51.90190506,Alaska.5,Alaska
-177.0795441,51.86655426,Alaska.5,Alaska
-177.1213837,51.83579254,Alaska.5,Alaska
-177.1351166,51.80693436,Alaska.5,Alaska
-177.1481934,51.71674728,Alaska.5,Alaska
-176.5933075,51.86669922,Alaska.6,Alaska
-176.5879364,51.83320236,Alaska.6,Alaska
-176.4733887,51.83740234,Alaska.6,Alaska
-176.4374542,51.82011414,Alaska.6,Alaska
-176.4373474,51.75429535,Alaska.6,Alaska
-176.4523468,51.73569489,Alaska.6,Alaska
-176.4697876,51.73115158,Alaska.6,Alaska
-176.5109863,51.74560547,Alaska.6,Alaska
-176.5575256,51.71205902,Alaska.6,Alaska
-176.7709503,51.6299324,Alaska.6,Alaska
-176.8371124,51.67588043,Alaska.6,Alaska
-176.9616241,51.6036644,Alaska.6,Alaska
-176.8744202,51.79048157,Alaska.6,Alaska
-176.7736359,51.81874847,Alaska.6,Alaska
-176.7364349,51.83993912,Alaska.6,Alaska
-176.7451172,51.89467621,Alaska.6,Alaska
-176.698349,51.98603439,Alaska.6,Alaska
-176.596817,51.98178482,Alaska.6,Alaska
-176.5498962,51.94404221,Alaska.6,Alaska
-176.5516052,51.91958237,Alaska.6,Alaska
-176.5933075,51.86669922,Alaska.6,Alaska
178.5754852,51.91625977,Alaska.7,Alaska
178.5118103,51.89912033,Alaska.7,Alaska
178.4777374,51.94253159,Alaska.7,Alaska
178.4750061,51.96772385,Alaska.7,Alaska
178.5093689,51.9946785,Alaska.7,Alaska
178.5706177,51.97753906,Alaska.7,Alaska
178.6073303,51.95302963,Alaska.7,Alaska
178.5754852,51.91625977,Alaska.7,Alaska
179.7277374,51.90542221,Alaska.8,Alaska
179.6452179,51.88022614,Alaska.8,Alaska
179.5496063,51.89404297,Alaska.8,Alaska
179.4976654,51.93281555,Alaska.8,Alaska
179.5039063,51.97959137,Alaska.8,Alaska
179.6271515,52.03042221,Alaska.8,Alaska
179.7799835,51.96684647,Alaska.8,Alaska
179.7277374,51.90542221,Alaska.8,Alaska
-176.0215302,52.00244141,Alaska.9,Alaska
-176.0450592,51.97299957,Alaska.9,Alaska
-176.142868,52.00429916,Alaska.9,Alaska
-176.1775513,52.02983475,Alaska.9,Alaska
-176.1845245,52.05605316,Alaska.9,Alaska
-176.1556549,52.09941101,Alaska.9,Alaska
-176.0773926,52.0999527,Alaska.9,Alaska
-176.0312042,52.08232498,Alaska.9,Alaska
