long,lat,group,id
-160.1800232,21.84106445,Hawaii.6,Hawaii
-160.2002411,21.796875,Hawaii.6,Hawaii
-160.234726,21.80366135,Hawaii.6,Hawaii
-160.243454,21.84306526,Hawaii.6,Hawaii
-160.2209015,21.89726639,Hawaii.6,Hawaii
-160.1638641,21.94404411,Hawaii.6,Hawaii
-160.1006317,22.01523399,Hawaii.6,Hawaii
-160.0487366,22.00463867,Hawaii.6,Hawaii
-160.0767059,21.95810509,Hawaii.6,Hawaii
-160.0800323,21.90742111,Hawaii.6,Hawaii
-160.1534119,21.87875938,Hawaii.6,Hawaii
-160.1800232,21.84106445,Hawaii.6,Hawaii
-159.372757,21.93237305,Hawaii.7,Hawaii
-159.4606934,21.87612343,Hawaii.7,Hawaii
-159.5118713,21.90039063,Hawaii.7,Hawaii
-159.6088409,21.90952301,Hawaii.7,Hawaii
-159.6463776,21.95175934,Hawaii.7,Hawaii
-159.7480011,21.98984337,Hawaii.7,Hawaii
-159.7891541,22.04179764,Hawaii.7,Hawaii
-159.7266083,22.1401844,Hawaii.7,Hawaii
-159.5792084,22.22314453,Hawaii.7,Hawaii
-159.3520508,22.2195797,Hawaii.7,Hawaii
-159.3047943,22.15405273,Hawaii.7,Hawaii
-159.3006744,22.1052742,1449,Hawaii
-159.3301697,22.05068398,Hawaii.7,Hawaii
-159.34375,21.97363281,Hawaii.7,Hawaii
-159.372757,21.93237305,Hawaii.7,Hawaii
